15:42:55.777	127.0.0.1:52298	admin	OK		0.26 ms
15:42:55.778	127.0.0.1:52299	admin	OK	QUERY[0] import module namespace funcs='com.funcs.music' at 'music.xqm'; funcs:trackFromPlaylist()	0.3 ms
15:42:55.785	127.0.0.1:52299	admin	OK	EXEC[0]	5.75 ms
15:42:55.785	127.0.0.1:52299	admin	OK	CLOSE[0]	0.1 ms
15:42:55.786	127.0.0.1:52299	admin	REQUEST	EXIT	0.53 ms
15:42:55.786	127.0.0.1:52299	admin	OK		0.22 ms
15:42:56.889	127.0.0.1:52301	admin	OK	QUERY[0] import module namespace funcs='com.funcs.music' at 'music.xqm'; funcs:insertTrack("Harry Styles", "Adore You")	0.17 ms
15:42:56.923	127.0.0.1:52301	admin	OK	EXEC[0]	33.81 ms
15:42:56.923	127.0.0.1:52301	admin	OK	CLOSE[0]	0.07 ms
15:42:56.924	127.0.0.1:52301	admin	REQUEST	EXIT	0.53 ms
15:42:56.924	127.0.0.1:52301	admin	OK		0.27 ms
15:42:56.994	127.0.0.1:52302	admin	OK	QUERY[0] import module namespace funcs='com.funcs.music' at 'music.xqm'; funcs:giveTopSongsGlobal()	0.23 ms
15:42:57.010	127.0.0.1:52302	admin	OK	EXEC[0]	15.98 ms
15:42:57.011	127.0.0.1:52302	admin	OK	CLOSE[0]	0.13 ms
15:42:57.012	127.0.0.1:52302	admin	REQUEST	EXIT	0.58 ms
15:42:57.012	127.0.0.1:52302	admin	OK		0.27 ms
15:42:57.013	127.0.0.1:52303	admin	OK	QUERY[0] import module namespace funcs='com.funcs.music' at 'music.xqm'; funcs:trackFromPlaylist()	0.13 ms
15:42:57.020	127.0.0.1:52303	admin	OK	EXEC[0]	7.23 ms
15:42:57.021	127.0.0.1:52303	admin	OK	CLOSE[0]	0.12 ms
15:42:57.021	127.0.0.1:52303	admin	REQUEST	EXIT	0.39 ms
15:42:57.021	127.0.0.1:52303	admin	OK		0.13 ms
15:42:58.071	127.0.0.1:52305	admin	OK	QUERY[0] import module namespace funcs='com.funcs.music' at 'music.xqm'; funcs:insertTrack("Wallows", "Are You Bored Yet? (feat. Clairo)")	0.19 ms
15:42:58.089	127.0.0.1:52305	admin	OK	EXEC[0]	17.91 ms
15:42:58.089	127.0.0.1:52305	admin	OK	CLOSE[0]	0.11 ms
15:42:58.090	127.0.0.1:52305	admin	REQUEST	EXIT	0.57 ms
15:42:58.090	127.0.0.1:52305	admin	OK		0.26 ms
15:42:58.168	127.0.0.1:52306	admin	OK	QUERY[0] import module namespace funcs='com.funcs.music' at 'music.xqm'; funcs:giveTopSongsGlobal()	0.18 ms
15:42:58.181	127.0.0.1:52306	admin	OK	EXEC[0]	12.25 ms
15:42:58.181	127.0.0.1:52306	admin	OK	CLOSE[0]	0.08 ms
15:42:58.182	127.0.0.1:52306	admin	REQUEST	EXIT	0.66 ms
15:42:58.182	127.0.0.1:52306	admin	OK		0.3 ms
15:42:58.183	127.0.0.1:52307	admin	OK	QUERY[0] import module namespace funcs='com.funcs.music' at 'music.xqm'; funcs:trackFromPlaylist()	0.14 ms
15:42:58.190	127.0.0.1:52307	admin	OK	EXEC[0]	6.4 ms
15:42:58.190	127.0.0.1:52307	admin	OK	CLOSE[0]	0.11 ms
15:42:58.191	127.0.0.1:52307	admin	REQUEST	EXIT	0.45 ms
15:42:58.191	127.0.0.1:52307	admin	OK		0.17 ms
